ticker,title,summary,published_at,url,source,full_text,compound,sentiment
AAPL,"Oil prices sink as OPEC+ hikes output, U.S. stock futures dip ahead of Fed meeting",Oil prices sank Sunday while U.S. stock futures declined after the S&P 500 notched its longest winning streak in more than 20 years last week.,2025-05-05T03:21:00,https://www.marketwatch.com/story/oil-prices-sink-as-opec-hikes-output-u-s-stock-futures-dip-ahead-of-fed-meeting-1ec8cfd4,MarketWatch,"Oil prices sink as OPEC+ hikes output, U.S. stock futures dip ahead of Fed meeting. Oil prices sank Sunday while U.S. stock futures declined after the S&P 500 notched its longest winning streak in more than 20 years last week.",0.5267,positive
AAPL,NPR and PBS CEOs say they'll challenge Trump administration over federal funding cuts,"The CEOs of NPR and PBS said on Sunday's ""Face the Nation"" they will challenge Trump's executive order to end federal funding to the organizations.",2025-05-04T22:21:34,https://www.cnbc.com/2025/05/04/npr-and-pbs-to-challenge-trump-over-public-funding-cuts.html,CNBC,"NPR and PBS CEOs say they'll challenge Trump administration over federal funding cuts. The CEOs of NPR and PBS said on Sunday's ""Face the Nation"" they will challenge Trump's executive order to end federal funding to the organizations.",-0.1531,negative
AAPL,Why Trump — and investors — will probably be disappointed by the Fed this week,"The Federal Open Market Committee is scheduled to meet on May 6 and 7, and while the Fed isn’t expected to cut interest rates, the meeting will likely be closely watched by both investors and President Donald Trump.",2025-05-04T21:00:00,https://www.marketwatch.com/story/why-trump-and-investors-will-probably-be-disappointed-by-the-fed-this-week-3c58e146,MarketWatch,"Why Trump — and investors — will probably be disappointed by the Fed this week. The Federal Open Market Committee is scheduled to meet on May 6 and 7, and while the Fed isn’t expected to cut interest rates, the meeting will likely be closely watched by both investors and President Donald Trump.",-0.296,negative
AAPL,Netflix executive says getting publicly fired was 'the greatest learning lesson': 'I am so grateful that it happened',Bela Bajaria is Netflix's chief content officer and spoke at CNBC's 2025 Changemakers Summit in Los Angeles.,2025-05-04T19:00:02,https://www.cnbc.com/2025/05/04/netflix-chief-on-what-getting-publicly-fired-taught-her-about-failure.html,CNBC,Netflix executive says getting publicly fired was 'the greatest learning lesson': 'I am so grateful that it happened'. Bela Bajaria is Netflix's chief content officer and spoke at CNBC's 2025 Changemakers Summit in Los Angeles.,0.6669,positive
AAPL,"Wall Street’s outlook sours on second quarter, with bigger forecast cuts than normal","Earnings Watch: Mattel and Ford will report, as markets rebound but look for trade-war clarity",2025-05-04T19:00:00,https://www.marketwatch.com/story/wall-streets-outlook-sours-on-second-quarter-with-bigger-forecast-cuts-than-normal-1d89bb5c,MarketWatch,"Wall Street’s outlook sours on second quarter, with bigger forecast cuts than normal. Earnings Watch: Mattel and Ford will report, as markets rebound but look for trade-war clarity",0.4497,positive
AAPL,"I’m a psychologist who studies couples—if you use this toxic phrase, your relationship is in trouble","Behind this seemingly small phrase lies a pattern that can damage trust in a relationship. Couples psychologist Mark Travers breaks down what it really means, and what to do instead to build a happy, successful relationship.",2025-05-04T18:52:50,https://www.cnbc.com/2025/05/04/psychologist-if-you-use-this-toxic-phrase-your-relationship-is-in-trouble.html,CNBC,"I’m a psychologist who studies couples—if you use this toxic phrase, your relationship is in trouble. Behind this seemingly small phrase lies a pattern that can damage trust in a relationship. Couples psychologist Mark Travers breaks down what it really means, and what to do instead to build a happy, successful relationship.",0.4767,positive
AAPL,13 major U.S. cities where owning a home requires twice the income needed to rent,San Jose is the most expensive U.S. city to buy a home — buyers need three times the income required to afford the typical rental.,2025-05-04T18:00:01,https://www.cnbc.com/2025/05/04/us-cities-where-owning-a-home-requires-double-the-income-of-renting.html,CNBC,13 major U.S. cities where owning a home requires twice the income needed to rent. San Jose is the most expensive U.S. city to buy a home — buyers need three times the income required to afford the typical rental.,0.0,neutral
AAPL,"33-year-old spent years working $15 an hour seasonal jobs—last year she made $92,100 as a forester",Sarah Myers did five years of seasonal work for about $15 per hour before landing her gig as a forester in federal land management.,2025-05-04T18:00:01,https://www.cnbc.com/2025/05/04/33-year-old-forester-did-years-of-seasonal-work-to-get-her-job.html,CNBC,"33-year-old spent years working $15 an hour seasonal jobs—last year she made $92,100 as a forester. Sarah Myers did five years of seasonal work for about $15 per hour before landing her gig as a forester in federal land management.",0.0,neutral
AAPL,A real-estate giant wants sellers to list their homes privately. Will homeowners benefit?,"Selling a home has been tough in a sluggish market, but now some real-estate agents want sellers to keep their for-sale listings private.",2025-05-04T15:00:00,https://www.marketwatch.com/story/a-real-estate-giant-wants-sellers-to-list-their-homes-privately-will-homeowners-benefit-8a561bb8,MarketWatch,"A real-estate giant wants sellers to list their homes privately. Will homeowners benefit?. Selling a home has been tough in a sluggish market, but now some real-estate agents want sellers to keep their for-sale listings private.",-0.1655,negative
AAPL,"Buffett passes the torch — here’s what Berkshire loyalists should know, from a longtime insider","Buffett’s CEO successor Greg Abel may bring a change in style, greater collaboration.",2025-05-04T02:32:00,https://www.marketwatch.com/story/buffett-passes-the-torch-heres-what-berkshire-loyalists-should-know-from-a-longtime-insider-bd2f6fbf,MarketWatch,"Buffett passes the torch — here’s what Berkshire loyalists should know, from a longtime insider. Buffett’s CEO successor Greg Abel may bring a change in style, greater collaboration.",0.6705,positive
